countryname,countrycode,continent,gdpcap,bsc_fem,bsc_mal,bsc_tot,popdens,urbpop,co2intens,forest,natresource,femparl,drinkwater,sanitation,healthexp,healthexpcap,doctors,nurses,lifexp_fem,lifexp_tot,lifexp_mal,infmort_tot,infmort_mal,infmort_fem,suicide_mal,suicide_fem,popgrowth,birthrate,deathrate,oldagedep,sexratio,totpop,tfr,contracep,hiv,internet,mobiles,gini,top10p,povrat,povgap215,povgap685,povgap365,hom_tot,hom_fem,hom_mal,armyexp,ptemp_fem,ptemp_mal,ptemp_tot,femmanage,emprat_fem,emprat_mal,emprat_tot,emp_serv,emp_indu,emp_agri,lfp_fem,lfp_mal,unemploy
Ethiopia,ETH,Africa,799.7951,,,,99.310318,21.225,.20481923,15.188679,5.4941111,38.756855,12.021347,6.4806933,3.238086,75.11409,,,68.536003,66.597,64.694,36.599998,41.599998,31.299999,7.6999998,3.0999999,2.5796971,31.896,6.4180002,6.2633781,1.04,112078728,4.1459999,40.5,.89999998,.14186457,37.402279,,,,,,,,,,.58773994,,,,,72.572998,85.128998,78.802002,24.049999,9.3199997,66.629997,76.019997,86.690002,2.326
Faroe Islands,FRO,Europe,,,,,34.868912,42.224998,,.057306591,0,,,,,,,,85.199997,82.792686,80.5,,,,,,.3704699,13.2,8,,,48677,2.4000001,,,37.347466,112.90316,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Oceania,5869.021,,,,48.711277,56.75,.31207135,62.032841,1.1903411,19.607843,,,3.8160701,545.3103,,3.9596,69.331001,67.444,65.697998,22.6,24.4,20.700001,12.2,5.6999998,.72909266,20.954,8.257,8.6417322,1.0599999,889955,2.7539999,,.2,2.4106891,115.73645,30.700001,24.200001,,.2,16.4,2.5999999,,,,1.4640981,,,,,36.151001,73.158997,54.820999,68.260002,14.14,17.610001,40.619999,79.220001,4.448
Finland,FIN,Europe,46135.078,28.07295,23.68276,25.935089,18.16736,85.445999,.15981017,73.730797,.36603123,47,99.636154,84.099869,9.1534834,4710.2183,,,84.800003,81.982925,79.300003,1.9,2.0999999,1.7,23.200001,7.5999999,.11019169,8.3000002,9.8000002,35.801357,1.0470001,5521606,1.35,,,32.482815,129.24437,27.700001,23,15.6,0,.1,0,1.5906991,1.0695381,2.1267157,1.3477111,50.529999,37.759998,43.93,36.799999,52.349998,58.673,55.445,74.580002,21.639999,3.78,76.599998,79.650002,6.6900001
France,FRA,Europe,38912.332,19.460871,19.96773,19.700541,122.8163,80.709,.11484201,31.356735,.034171879,39.688042,99.248833,78.589119,11.057472,5492.5303,,,85.900002,82.826828,79.900002,3.4000001,3.8,3.0999999,20.4,7.5999999,.21882415,11.2,9.1000004,32.99229,1.049,67248928,1.86,,.30000001,45.69342,110.61002,,,17.9,,,,1.3219769,.84808213,1.7446752,1.8454912,48.82,31.08,39.689999,34.299999,46.973999,54.609001,50.622002,77.040001,20.43,2.53,68.300003,75.440002,8.4099998
French Polynesia,PYF,Oceania,21320.439,,,,80.462402,61.896999,,43.059635,,,84.64959,,,,,,79.898003,77.656998,75.612,,,,,,.57886034,14.427,5.7420001,12.625505,1.049,279285,1.927,,,22.199387,113.86137,,,,,,,,,,,,,,,42.868999,55.583,49.287998,76.540001,16.639999,6.8299999,53.240002,67.07,12.296
Gabon,GAB,Africa,7116.0811,,,,8.4316292,89.740997,.33958071,91.366791,22.732994,17.910448,,,2.768362,432.18716,,,68.668999,66.467003,64.382004,31.5,35.200001,27.6,14.2,2.4000001,2.4840431,30.968,6.704,5.9800701,1.03,2172578,3.9219999,,3.3,1.1220305,137.75385,,,,,,,,,,1.5809017,,,,,28.384001,48.291,38.571999,59.299999,10.74,29.959999,44.990002,63.880001,20.742001
"Gambia, The",GMB,Africa,714.54211,,,,231.98576,61.931,.3457469,24.545454,2.8122709,10.344828,43.98032,29.590872,3.8217108,88.711166,.1073,.60610002,63.480999,62.049999,60.655998,35.599998,39.799999,31.200001,6.5999999,3,2.9218628,38.073002,7.7220001,4.8036799,1.03,2347696,5.1539998,,1.8,.21297386,110.0953,,,,,,,,,,.81431866,,,,,44.083,62.624001,53.152,57.959999,15.01,27.030001,52.450001,69,9.4980001
Georgia,GEO,Europe,4773.4233,34.762932,32.351959,33.66769,65.085571,59.039001,.56932396,40.615917,.63114649,14.7651,66.122292,34.722275,6.6574426,970.19971,7.0784001,5.2161999,78.139999,73.766998,69.348999,8.3999996,9.3999996,7.5,16,3,-.17156574,13.2,12.791,23.203892,1.063,3720161,2.0550001,,.30000001,23.446487,134.66039,35.900002,27.6,,1.1,19.9,5.1999998,1.9265596,,,1.7499243,42.889999,28.33,35.189999,36.700001,48.977001,63.301998,55.648998,47.59,14.26,38.150002,61.450001,77.760002,11.57
Germany,DEU,Europe,43329.051,,,,237.82295,77.375999,.18259391,32.682674,.09437485,30.888575,99.993027,97.119942,11.697249,6738.6704,,,83.699997,81.292686,79,3.2,3.4000001,2.9000001,18.6,6.1999998,.22551988,9.3999996,11.3,33.359871,1.054,83092960,1.54,,.1,42.136806,128.35703,,,17.4,,,,.74595553,.65297729,.84123015,1.2691469,57.740002,26.639999,41.139999,28.6,55.046001,65.098999,59.976002,71.610001,27.18,1.21,74.730003,83.300003,3.1400001
Ghana,GHA,Africa,2053.5867,,,,133.68137,56.707001,.32081604,35.064075,10.290816,13.090909,39.697899,12.865545,3.4185886,193.22354,.1064,2.711,65.177002,64.073997,62.991001,34,37.700001,30.1,11.8,1.2,2.1625845,28.992001,7.2189999,5.2022777,1.053,30417858,3.816,,1.7,.19238043,134.31938,,,,,,,,,,.44193608,,,,,62.347,69.761002,66.087997,49.209999,21.049999,29.75,65.370003,72.940002,4.316
Gibraltar,GIB,Europe,,,,,3370.6001,100,,0,,,100,,,,,,,,,,,,,,-.026697913,,,,,33706,,,,57.852882,120.28426,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Europe,19003.828,,,,83.177521,79.388,.29447693,30.269978,.070965521,20.666666,100,90.945854,7.8378859,2418.8081,,,84.199997,81.639023,79.199997,3.7,3.9000001,3.4000001,8.3999996,1.9,-.10533939,7.8000002,11.7,34.197025,1.0650001,10721582,1.34,,.2,39.254269,113.44949,33.099998,24.9,30,.40000001,1.5,.69999999,.74474013,.35627681,1.1477438,2.6645806,33.59,20.01,25.719999,29.799999,34.799999,51.573002,42.966,73.059998,15.34,11.6,60.610001,76.730003,17.309999
Greenland,GRL,Europe,47908.105,14.47445,6.9295301,10.44041,.1369838,87.052002,,.0005359971,0,,96.742424,91.889206,,,,,74.040001,72.047562,70.150002,,,,,,.3599177,15.1,9.8000002,,,56225,2.0799999,,,25.416431,108.79446,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,North America,10133.132,,,,329.41763,36.396,.29076657,52.058823,0,46.666668,,,4.96524,879.50641,,,74.953003,72.397003,70.072998,14.7,15.8,13.5,.60000002,.69999999,.49496412,16.198,9.5819998,14.529685,1.05,112002,2.0420001,,,28.380489,103.73293,,,,,,,14.28546,1.7993379,26.58349,,,,,,,,,,,,,,
Guam,GUM,Oceania,35666.316,,,,309.80554,94.859001,,51.851852,0,,99.438705,,,,,,83.550003,80.073997,76.828003,,,,,,.91574359,16.459999,5.2729998,15.515185,1.058,167295,2.293,,,1.7932502,,,,,,,,4.1842256,,,,,,,,53.362,64.775002,59.09,84.230003,15.54,.23,59.43,81.309998,5.5149999
Guatemala,GTM,North America,4254.0352,4.1101198,4.5862098,4.3220201,154.94612,51.438999,.27338067,33.029114,1.1565759,19.375,55.567532,,6.2116103,529.12036,,,77.151001,74.302002,71.382004,20.700001,23,18.299999,9.3999996,2.5999999,1.5603861,24.209999,4.7199998,8.0523605,1.05,16604026,2.822,,.2,3.3273664,118.728,,,,,,,24.952398,7.9022355,42.517567,.4658317,,,,39.400002,38.368999,82.597,59.740002,49.98,18.73,31.299999,42.450001,88.230003,2.1900001
Guinea,GIN,Africa,945.50745,,,,51.974792,36.5,.32711381,25.349993,4.6260161,22.807018,,,3.9838996,119.59002,,,62.117001,61.602001,60.855,63.400002,69.300003,57.200001,9.1999998,4.9000001,2.8347847,35.965,8.2250004,5.4878001,1.024,12771246,4.625,,1.5,.0097876117,100.79675,,,,,,,,,,1.4451357,,,,,60.777,59.837002,60.338001,33.560001,5.79,60.650002,65.010002,60.66,5.02
Guinea-Bissau,GNB,Africa,650.0694,,,,68.311417,43.777,.26426864,70.713013,9.9310036,13.725491,23.990686,11.641122,8.349761,186.42703,,,60.213001,58.321999,56.305,53,58.400002,47.200001,10.2,3.9000001,2.4565287,34.558998,9.434,5.2075453,1.03,1920917,4.402,20.200001,3.3,.063875578,82.792587,,,,,,,,,,1.6527944,,,,,60.178001,74.373001,66.966003,30.91,8.6099997,60.48,67.190002,78.980003,6.0359998
Guyana,GUY,South America,6478.2876,,,,3.976505,26.688999,.5620147,93.596848,6.1736279,31.884058,,,4.9304867,673.56842,,,73.095001,69.905998,66.927002,24.5,27.6,21.200001,63,17.4,.48252666,19.723,7.5510001,10.268955,1.05,782775,2.4400001,,1.4,10.603424,99.391136,,,,,,,17.374086,4.6212621,30.004755,1.6041788,29.16,22.24,25.02,45.900002,35.487,57.911999,46.674999,59.599998,24.969999,15.44,46.43,70.690002,13.992
Haiti,HTI,North America,1373.8831,,,,408.67487,56.192001,.2145513,12.714441,.44314873,2.5423729,,,4.7280898,143.45038,,,66.181999,64.000999,61.831001,47.799999,52.599998,42.799999,11.8,7.5999999,1.2498542,23.959,8.448,8.1569796,1.05,11263079,2.8870001,,1.9,.27612346,60.759418,,,,,,,,,,.0013942126,,,,,51.924,61.779999,56.714001,64.309998,6.6599998,29.030001,65.160004,72.860001,13.915
Honduras,HND,North America,2499.4929,11.05307,8.1684704,9.6349897,87.104431,57.73,.4195343,57.022163,.9264062,21.09375,,49.317482,7.2839179,435.68433,,,77.551003,75.269997,72.959999,14.4,16,12.8,3.3,.80000001,1.6406178,21.337,4.4499998,7.5425878,1.05,9746115,2.427,66.5,.2,4.0054617,77.567596,48.200001,34.599998,,4.3000002,24,10.8,42.006481,8.160552,75.908905,1.623598,40.290001,24.48,30.620001,47.5,41.004002,78.565002,59.578999,49.119999,21.389999,29.49,54.279999,87.959999,5.6999998
"Hong Kong SAR, China",HKG,Asia,44192.379,,,,7150.3809,100,,,.00056905986,,100,85.932884,,,,,88.099998,85.078049,82.199997,,,,,,.73928344,7,6.5,24.935144,1.075,7507900,1.051,,,37.718288,288.53271,,,,,,,.32274735,.32357064,.32177979,,,,,,53.672001,65.028999,58.785999,88.75,11.08,.17,65.339996,80.860001,2.9300001
Hungary,HUN,Europe,15041.099,,,,107.06927,71.643997,.31557742,22.512272,.32277891,12.562814,92.573647,87.751099,6.3500223,2155.9094,,5.2593002,79.699997,76.319511,73.099998,3.4000001,3.7,3.0999999,25.9,8.3000002,-.045255709,9.5,13.3,29.897919,1.059,9771141,1.55,,,32.935413,106.0716,30,23.299999,18.9,.1,.89999998,.30000001,.66083753,.61066538,.71610701,1.2543863,29.889999,22.940001,26.07,35.900002,47.081001,64.259003,55.146999,63.189999,32.09,4.7199998,65.279999,79.949997,3.4200001
Iceland,ISL,Europe,57818.859,42.456982,30.25432,36.142879,3.5759497,93.855003,.078667104,.50272739,.0001085816,38.095238,100,83.688034,8.6386805,5636.4126,4.1416001,17.188801,84.699997,83.163414,81.699997,1.6,1.7,1.4,19.799999,3.9000001,2.1989322,12.3,6.3000002,23.314817,1.053,360563,1.74,,.1,41.070286,121.94932,,,,,,,.29495305,0,.58744055,,47.790001,27.93,37.110001,44,68.019997,75.466003,71.739998,78.489998,17.469999,4.04,84.260002,89.040001,3.51
India,IND,Asia,1965.5393,,,,459.57968,34.472,.91456836,24.180628,1.9917625,14.391144,,43.904289,3.0141468,211.00223,.92809999,2.3885,70.949997,69.655998,68.463997,28.299999,28.4,28.200001,14.1,11.1,1.0132612,17.643999,7.2649999,9.5187483,1.1,1366417792,2.2019999,,.2,1.4019548,84.270012,35.700001,30.6,,1.8,38.799999,12.1,2.9624176,2.626658,3.2727201,2.5191207,,,,14.8,20.134001,69.318001,45.603001,32.279999,25.120001,42.599998,22.26,79.57,5.27
Indonesia,IDN,Asia,3877.4246,,,,144.13998,55.985001,.59070063,49.394295,3.3792405,17.391304,,,2.9049358,358.28961,.46509999,3.8069999,73.967003,71.716003,69.571999,20.200001,22.4,17.9,3.7,1.1,1.0979264,17.746,6.5100002,8.9323692,1.05,270625568,2.2880001,,.40000001,3.8002188,126.10691,37.599998,29.5,,.60000002,24.5,6,,,,.8043353,42.389999,26.24,32.639999,,52.119999,79.335999,65.740997,49.139999,22.360001,28.5,55.990002,84.139999,3.6199999
"Iran, Islamic Rep.",IRN,Asia,5308.9199,,,,51.102554,75.390999,1.431245,6.6215529,26.713722,5.8823528,93.842186,,6.7106166,868.18445,,,77.885002,76.677002,75.593002,11.5,12.2,10.9,7.6999998,2.8,1.3522898,18.42,4.842,9.2170095,1.052,82913896,2.1459999,,.1,10.403782,142.39037,40.900002,31.700001,,.2,8.3000002,1.5,,,,2.1005671,,,,19.799999,13.954,63.783001,38.998001,51.240002,31.389999,17.370001,18.940001,76.879997,10.74
Iraq,IRQ,Asia,5132.7012,,,,90.548843,70.678001,.86516321,1.9003612,39.477985,25.227964,59.356628,43.127304,4.4767151,483.3389,,,72.652,70.603996,68.565002,22,24.1,19.700001,5.1999998,2,2.2541392,28.556,4.7360001,5.8014703,1.0650001,39309788,3.5969999,,,11.597756,94.695915,,,,,,,,,,3.3821959,,,,,7.9219999,65.207001,36.632,58.799999,22.93,18.27,12.06,76.720001,12.863
Ireland,IRL,Europe,75143.016,,,,71.626358,63.404999,.096418045,11.293656,.075304419,22.151899,97.33152,82.777122,6.6793151,6010.0664,3.352,,84.699997,82.702438,80.800003,2.7,3,2.5,15.4,3.9000001,1.3676269,12,6.3000002,22.007641,1.056,4934340,1.71,,.2,29.954952,105.69,,,20.6,,,,.69636488,.32519269,1.0733078,.2791453,50.66,21.620001,34.990002,30.4,53.601002,65.096001,59.254002,76.800003,18.77,4.4299998,67.599998,79.510002,4.9499998
Isle of Man,IMN,Europe,96105.305,,,,148.40175,52.735001,,6.0701756,0,,97.207565,,,,,,,,,,,,,,.61187655,,,,,84589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Asia,38995.23,,,,418.39188,92.500999,.17744718,6.469501,.10008934,23.333334,99.362236,94.205345,7.461319,3326.2529,5.4667001,6.6047001,84.699997,82.804878,81,3,3.2,2.7,8.3999996,2.3,1.9089826,20.1,5.0999999,20.379795,1.053,9054000,3.01,,,29.121847,137.33398,,,,,,,1.4672441,,,5.1929326,44.52,23.559999,33.580002,,57.219002,65.094002,61.087002,81.860001,17.23,.92000002,69.580002,74.769997,3.8
Italy,ITA,Europe,32119.744,,,,201.98055,70.736,.16535982,32.166969,.089880943,35.714287,95.823685,95.777031,8.6685686,3998.012,8.0129995,5.8867002,85.699997,83.497559,81.400002,2.5999999,2.8,2.4000001,10.1,3.5,-1.1530284,7,10.6,36.057194,1.063,59729080,1.27,,.2,28.852961,131.26451,,,25.6,,,,.52353346,.35703883,.69922864,1.3165669,49.849998,21.4,33.419998,23.299999,36.678001,53.779999,44.925999,70.239998,25.870001,3.8900001,56.529999,75.139999,9.9499998
Jamaica,JAM,North America,5065.375,,,,272.23242,55.985001,.56180048,54.75531,.15063109,17.460318,,,6.0974832,597.85394,,,76.117996,74.474998,72.867996,11.8,13.1,10.4,3.7,1.1,.4563565,15.907,7.5910001,13.209287,1.05,2948277,1.965,,1.3,10.782799,102.564,,,,,,,45.450275,8.6221008,82.802719,1.6872661,,,,,52.647999,66.887001,59.66,68.599998,16.18,15.22,65.82,77.099998,7.6900001
Japan,JPN,Asia,36081.066,,,,347.41565,91.697998,.2367164,68.408783,.091779463,10.107527,98.565445,81.033798,10.743725,4587.0347,,,87.449997,84.356339,81.410004,1.8,1.9,1.8,21.799999,9.1999998,-.14046498,7,11,47.121727,1.056,126633000,1.36,,,33.50338,147.02322,,,,,,,.25145772,.27884769,.22275917,.93728107,50.849998,22.26,34.990002,,52.132999,69.620003,60.610001,72.400002,24.219999,3.3800001,72.769997,86.650002,2.4000001
Jordan,JOR,Asia,4133.5498,,,,113.76553,91.203003,.58985722,1.0980471,.033031955,15.384615,83.53672,82.083672,7.5824695,797.45197,,3.3469999,76.306,74.526001,72.838997,13.3,14.6,12,2.5,.69999999,1.3592163,21.476999,3.8889999,6.2250476,1.054,10101697,2.691,,,4.528904,77.004608,,,,,,,1.1384226,.52120066,1.7405878,4.6420627,15.17,8.1099997,9.1199999,62,10.654,54.208,32.644001,73.089996,24.450001,2.47,15.56,67.260002,16.809999
Kazakhstan,KAZ,Asia,11402.76,,,,6.8576779,57.540001,1.0047513,1.2688224,19.025696,27.102804,89.321259,,2.7874568,765.48962,,,77.300003,73.18,68.82,9,10.2,7.8000002,29,6.8000002,1.2896085,21.73,7.1900001,12.057315,1.0650001,18513672,2.9000001,,.30000001,13.543972,138.62923,,,,,,,,,,1.0623794,,,,,60.612,73.513,66.716003,64.160004,20.98,14.86,71.760002,81.669998,4.8000002
Kenya,KEN,Africa,1602.7885,,,,92.374405,27.507,.26440415,6.3448186,1.2372898,21.776505,,,4.5918269,207.6185,,,69.049004,66.698997,64.313004,32,35.099998,28.6,9.1000004,3.2,2.2727463,28.298,5.3930001,4.1516113,1.03,52573968,3.4230001,56.400002,4.4000001,.93427026,103.76902,,,,,,,2.9976814,1.4970747,4.517199,1.1676913,31.5,20.700001,25.85,49.599998,68.299004,72.360001,70.297997,39.439999,6.2199998,54.34,72.410004,76.760002,5.0100002
Kiribati,KIR,Oceania,1505.1553,,,,145.19507,54.834999,.50842202,1.4567901,.038353253,6.521739,14.415488,26.355274,10.264144,246.99055,,,72.342003,68.369003,64.248001,40.299999,44.299999,36.099998,48.599998,8.6999998,1.5129867,27.452999,6.2800002,6.7947011,1.056,117608,3.53,27.299999,,.089281157,46.475521,27.799999,22.9,,.30000001,23.799999,3.8,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,Asia,,,,,213.15637,62.133999,,50.255959,,17.61281,66.311409,,,,,,75.744003,72.274002,68.614998,13.1,14.5,11.6,11.2,7.5999999,.4551419,13.848,9.2049999,13.085893,1.05,25666158,1.896,,,,16.570456,,,,,,,,,,,,,,,76.327003,84.573997,80.315002,43.450001,12.73,43.82,81.050003,91.410004,2.5910001
"Korea, Rep.",KOR,Asia,31640.215,,,,530.37726,81.43,.37292179,64.51844,.10017317,16.666666,99.09977,99.942261,8.1641655,3521.3262,,,86.300003,83.22683,80.300003,2.7,2.9000001,2.4000001,40.200001,16.9,.34787497,5.9000001,5.6999998,20.860884,1.0549999,51764824,.91799998,,,42.764355,134.48927,,,,,,,.57979137,.60213017,.53802311,2.6731281,29.49,14.1,20.74,,51.812,70.611,61.186001,70.279999,24.58,5.1399999,60.110001,77.639999,3.75
Kosovo,XKX,Europe,4219.0806,,,,,,,,.39535716,,,,,,,,75.5,73.092682,70.800003,,,,,,-.45773,15.7,6.8000002,,,1788878,1.97,,,,,,,,,,,,,,.82615405,21.719999,12.57,14.67,14.3,,,,,,,,,
Kuwait,KWT,Asia,27207.131,,,,236.08737,100,.80943543,.35072953,41.03405,4.6153846,100,100,5.4960122,2861.1929,,,76.580002,75.488998,74.760002,7.5,8.1999998,6.8000002,4.3000002,.69999999,1.6721323,13.251,2.802,3.652673,1.045,4207077,2.0769999,,,2.0107756,174.15935,,,,,,,,,,5.4841957,,,,,47.620998,87.543999,72.749001,76.07,22.15,1.78,51.580002,88.720001,2.1670001
Kyrgyz Republic,KGZ,Asia,1226.8245,,,,33.661106,36.591,1.2688395,6.7629824,7.2759099,19.166666,69.262291,92.38868,4.4945412,260.34903,,5.6026001,75.800003,71.599998,67.599998,16.4,18.200001,14.4,11.7,3.2,2.0878761,26.9,5.1999998,7.3138905,1.058,6456200,3.3,,.2,4.19416,134.39474,29.700001,25.799999,,.2,19.4,2,2.1976819,.92536926,3.4972725,1.5586922,39.439999,15.2,25.17,40.900002,40.061001,69.907997,54.578999,55.330002,25.360001,19.32,47.34,77.699997,6.9180002
Lao PDR,LAO,Asia,2579.2537,,,,31.063501,35.645,1.0117973,72.053726,3.0447481,27.516779,17.587694,61.361446,2.5985236,212.37024,,.71710002,69.746002,67.922997,66.141998,36.5,40.599998,32.200001,7.5999999,3.2,1.517257,23.117001,6.3709998,6.5540471,1.05,7169456,2.6259999,,.30000001,1.0639582,60.843998,,,,,,,,,,,,,,,75.216003,77.93,76.569,25.620001,12.94,61.439999,80.489998,82.269997,.852
Latvia,LVA,Europe,16056.035,37.139778,23.804461,30.93531,30.755491,68.222,.24635197,54.749866,1.1300181,30,96.032196,81.086533,6.5781422,2098.4453,,4.6174002,80.099998,75.387802,70.900002,3.5,3.8,3.3,35.5,7,-.69523913,9.8000002,14.5,32.098957,1.063,1913822,1.61,,.60000002,26.69075,108.65723,34.5,26.6,27.299999,.2,.89999998,.30000001,3.9334152,4.082458,2.619745,2.0286691,25.940001,15.71,20.879999,43.5,52.661999,63.130001,57.366001,68.989998,23.719999,7.29,75.360001,80.230003,6.3099999
Lebanon,LBN,Asia,6815.9092,,,,670.15729,88.758003,.59814388,13.952102,.0013409173,4.6875,47.700001,16.534325,8.646615,1288.8082,,,80.869003,78.93,77.139999,6.1999998,6.4000001,5.9000001,3.8,1.7,-.053940482,17.377001,4.4569998,10.830693,1.05,6855709,2.075,,.1,6.1262774,61.816502,,,,,,,2.6547217,,,4.7079005,24.540001,17.200001,19.440001,28.9,18.662001,59.818001,39.131001,65.099998,23.59,11.32,25.629999,76.339996,11.35
Lesotho,LSO,Africa,1126.8439,,,,70.002205,28.584999,.32152405,1.1370224,3.8672101,23.333334,27.867008,45.8204,11.269464,313.6058,,,57.580002,54.331001,51.201,71.400002,78.199997,64.300003,116,30.1,.80026996,26.415001,13.926,7.867825,1.027,2125267,3.108,,22.299999,.21729024,79.125694,,,,,,,,,,1.6225202,10.59,7.0100002,8.5500002,31.700001,44.797001,56.014999,50.289001,42.389999,13.31,44.299999,63.080002,76.669998,22.440001
Liberia,LBR,Africa,650.41339,,,,51.260113,51.615002,.36744851,79.39888,14.23723,12.328767,,,8.4700575,126.02078,,,65.497002,64.103996,62.715,59.5,65,53.799999,5.5999999,3.3,2.4272153,32.687,7.381,5.8713589,1.054,4937374,4.2470002,,1.1,.22279049,39.23138,,,,,,,,,,1.4014928,,,,,70.480003,78.378998,74.408997,47.23,10.15,42.619999,73.419998,80.739998,3.0150001
Libya,LBY,Africa,8993.0859,,,,3.8518324,80.392998,.93190807,.12332769,44.973789,15.957447,,21.61705,,,,,75.950996,72.913002,70.097,9.8999996,10.9,8.8000002,6,2.9000001,1.4698224,18.299999,5.1009998,6.6073923,1.0599999,6777453,2.2060001,,.2,4.692029,54.858376,,,,,,,,,,,,,,,25.381001,50.935001,38.203999,59.169998,24.43,16.41,36.459999,68.830002,19.655001
Liechtenstein,LIE,Europe,,,,,237.625,14.371,,41.875,.0017258237,12,100,98.75,,,,,85.800003,84.160973,82.599998,,,,,,.26864037,9.1999998,6.8000002,,,38020,1.48,,,45.169521,125.58984,,,,,,,2.6301947,,,,,,,,,,,,,,,,
Lithuania,LTU,Europe,17241.256,,,,44.620522,67.855003,.24349016,35.132545,.33459601,21.276596,94.897491,93.915421,7.0060043,2796.8225,5.0398998,9.4452,81.199997,76.282928,71.599998,2.9000001,3.2,2.7,45.400002,9.6000004,-.26470435,9.8000002,13.7,31.153809,1.057,2794137,1.61,,.2,28.642241,134.23039,35.299999,27.5,26.299999,.40000001,.80000001,.5,3.4062524,1.4833254,5.6405249,2.0071507,27.74,17.01,22.440001,38.599998,54.143002,63.096001,58.202999,67.860001,25.700001,6.4400001,77.18,79.339996,6.2600002
Luxembourg,LUX,Europe,108570.03,,,,240.82759,91.223,.14098206,34.453827,.0088240858,25,99.451714,96.765335,5.37076,6756.8813,,,85.199997,82.639023,80.199997,2.3,2.5,2.0999999,15.3,7.0999999,1.962845,10,6.9000001,20.387642,1.046,620001,1.34,,.2,37.370338,135.75778,34.200001,25.799999,20.6,.1,.1,.1,.64963537,.32827786,.96428913,.63773054,42.77,20.200001,30.540001,26.5,52.728001,61.717999,57.259998,88.510002,10.81,.68000001,66.879997,76.18,5.5900002
"Macao SAR, China",MAC,Asia,79747.461,,,,19466.443,100,,,.00033873346,,99.977913,65.487579,,,,,87.179001,84.244003,81.280998,,,,,,1.385628,10.894,4.0180001,14.995176,1.05,640446,1.228,,,31.228287,436.10303,,,,,,,.31228238,0,.64997107,,,,,,65.666,72.832001,69.07,89.940002,9.6599998,.40000001,72.510002,84.389999,1.75
Madagascar,MDG,Africa,488.91376,,,,46.354942,37.861,.31246054,21.387127,4.7330818,15.89404,19.852051,10.057917,3.6872838,65.232635,,,68.681999,67.041,65.417,37.200001,41,33.200001,7.5999999,3.4000001,2.656446,32.408001,5.9330001,5.3792419,1.03,26969306,4.026,,.30000001,.11123756,48.214069,,,,,,,,,,.623972,,,,,82.252998,87.004997,84.603996,27.15,8.7299995,64.120003,84.720001,89.610001,1.857
Malawi,MWI,Africa,401.39267,,,,197.58961,17.174,.19391656,24.222528,4.2420478,22.916666,,23.958933,7.3934116,81.700089,,,67.413002,64.263,61.101002,30.1,33.5,26.5,9.1999998,1.7,2.6409371,33.73,6.4180002,4.9026885,1.03,18628748,4.1269999,,8.3999996,.060970284,47.781136,38.5,31,,29.299999,71.300003,50.900002,,,,1.1240975,,,,,67.958,78.005997,72.829002,18.27,5.3699999,76.360001,73.910004,80.870003,5.7519999
Malaysia,MYS,Asia,11414.578,13.44193,11.38134,12.38611,97.244827,76.607002,.69447386,58.329601,6.5672646,14.414414,93.771866,,3.8251419,1132.9932,,3.4842999,78.317001,76.155998,74.234001,7.3000002,7.9000001,6.6999998,8.8999996,2.3,1.328849,16.608,5.1700001,9.9745579,1.0599999,31949788,1.983,,.30000001,9.2786255,139.59628,,,,,,,,,,1.0330226,11.03,9.3100004,10.98,,49.980999,75.388,63.035,62.720001,27.01,10.28,55.490002,80.940002,3.26
Maldives,MDV,Asia,10197.093,,,,1769.8567,40.237999,.38971463,2.7333333,.0027360376,4.5977011,,,8.0400114,1639.8002,,,80.778999,78.920998,77.523003,6,6.5,5.4000001,3.9000001,.80000001,2.914808,13.584,2.7639999,4.7625971,1.0700001,530957,1.84,,,10.013881,155.95392,29.299999,23.299999,,0,.5,0,.56501752,,,,,,,77.400002,33.647999,64.789001,54.233002,72.550003,19.129999,8.3199997,43.049999,86.589996,5.3400002
Mali,MLI,Africa,815.37909,,,,16.110624,43.136002,.36372164,10.896664,7.8556738,9.5238094,,19.229038,3.8938985,94.550346,,,60.084999,59.306,58.528999,60.299999,65.5,54.700001,5.3000002,2.9000001,2.9962554,41.035,9.4119997,4.9703588,1.05,19658024,5.7849998,,.89999998,.72500646,116.62145,,,,,,,,,,2.7135265,,,,,53.279999,74.82,63.918999,30,7.5599999,62.439999,60.040001,82.769997,7.4419999
Malta,MLT,Europe,28363.609,,,,1575.1937,94.678001,.11610813,1.4375,0,14.925373,100,91.867973,8.2144432,4039.615,,,84.599998,82.858536,81.199997,5.6999998,6.0999999,5.1999998,9.8000002,2.3,3.9313564,8.6000004,7.3000002,32.098316,1.0599999,504062,1.14,,,45.986801,144.05684,31,24.799999,20.1,.1,.40000001,.2,1.1353908,1.3661575,.90586686,.55490804,38.18,22.34,28.709999,29.200001,49.492001,69.105003,59.273998,80.07,18.92,1.02,64.489998,83.800003,3.6199999
